Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/up_blocks.0/attentions.2/transformer_blocks.9/norm1/Mul,Mul,1280.0,5e-05,1315840.0,0.00462,2e-05,0.0046,1x256x1280,1x256x1280,1280,327680,327680,1310720.0,5120.0,1310720.0,0.0,1.0,1.0
/up_blocks.0/attentions.2/transformer_blocks.9/norm1/Add_1,Add,1280.0,5e-05,1315840.0,0.00462,2e-05,0.0046,1x256x1280,1x256x1280,1280,327680,327680,1310720.0,5120.0,1310720.0,0.0,1.0,1.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/to_q/MatMul,MatMul,1638400.0,0.06381,7864320.0,0.02759,0.02299,0.0046,1x256x1280,1x256x1280,1280x1280,327680,327680,1310720.0,6553600.0,1310720.0,7.0,1.0,8.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/to_k/MatMul,MatMul,1638400.0,0.06381,7864320.0,0.02759,0.02299,0.0046,1x256x1280,1x256x1280,1280x1280,327680,327680,1310720.0,6553600.0,1310720.0,7.0,1.0,8.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/to_v/MatMul,MatMul,1638400.0,0.06381,7864320.0,0.02759,0.02299,0.0046,1x256x1280,1x256x1280,1280x1280,327680,327680,1310720.0,6553600.0,1310720.0,7.0,1.0,8.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Shape,Shape,0.0,0.0,24.0,0.0,0.0,0.0,1x256x1280,3,,327680,3,1310720.0,0.0,24.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Shape_1,Shape,0.0,0.0,24.0,0.0,0.0,0.0,1x256x1280,3,,327680,3,1310720.0,0.0,24.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Shape_2,Shape,0.0,0.0,24.0,0.0,0.0,0.0,1x256x1280,3,,327680,3,1310720.0,0.0,24.0,0.0,0.0,0.0
Constant_25731,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Unsqueeze,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
