Node,Operation,Inputs Shape,Weights and Bias Shape,Output Shape,Weights and Bias Params Size,Output Params Size,Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
/down_blocks.0/attentions.0/proj_in/Add,Add,1x4096x320,320,1x4096x320,320,1310720,1280,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/ReduceMean,ReduceMean,1x4096x320,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Sub,Sub,"1x4096x320, 1x4096x1",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Pow,Pow,1x4096x320,,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/ReduceMean_1,ReduceMean,1x4096x320,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Add,Add,1x4096x1,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Sqrt,Sqrt,1x4096x1,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Div,Div,"1x4096x320, 1x4096x1",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Mul,Mul,1x4096x320,320,1x4096x320,320,1310720,1280,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Add_1,Add,1x4096x320,320,1x4096x320,320,1310720,1280,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Shape,Shape,1x4096x320,,3,0,3,0,24
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/to_q/MatMul,MatMul,1x4096x320,320x320,1x4096x320,102400,1310720,409600,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/to_k/MatMul,MatMul,1x4096x320,320x320,1x4096x320,102400,1310720,409600,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/to_v/MatMul,MatMul,1x4096x320,320x320,1x4096x320,102400,1310720,409600,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Shape_1,Shape,1x4096x320,,3,0,3,0,24
Constant_1535,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_3,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_4,Constant,,,1,0,1,0,8
Constant_1539,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_1,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Concat,Concat,"1, 1, 1, 1",,4,0,4,0,32
Constant_1542,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_2,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_5,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_6,Constant,,,1,0,1,0,8
Constant_1546,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_3,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Concat_1,Concat,"1, 1, 1, 1",,4,0,4,0,32
Constant_1549,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_4,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_7,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_8,Constant,,,1,0,1,0,8
Constant_1553,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_5,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Concat_2,Concat,"1, 1, 1, 1",,4,0,4,0,32
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Reshape,Reshape,"1x4096x320, 4",,1x4096x5x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Transpose,Transpose,1x4096x5x64,,1x5x4096x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Reshape_1,Reshape,"1x4096x320, 4",,1x4096x5x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Reshape_2,Reshape,"1x4096x320, 4",,1x4096x5x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Transpose_1,Transpose,1x4096x5x64,,1x5x4096x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Shape_2,Shape,1x5x4096x64,,4,0,4,0,32
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_9,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_10,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Slice,Slice,"4, 1, 1",,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Cast_2,Cast,1,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Sqrt,Sqrt,1,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_11,Constant,,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Div_1,Div,"1, 1",,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Cast_3,Cast,1,,1,0,1,0,4
